part,name,school
声楽,近藤喬之,国立音楽大学演奏学科声楽専修　卒業
声楽,滝沢奈津美,武蔵野音楽大学音楽学部声楽学科　卒業_同大学院音楽研究科修士課程声楽専攻　修了
声楽,轟木優人,東京芸術大学声楽科　在学
声楽,小嶋陽太,東京芸術大学声楽科　在学
声楽,珍田さほり,国立音楽大学音楽学部演奏学科声楽専修　修了_声楽コース　修了
ピアノ,田中勇輔,国立音楽大学演奏学科ピアノ科　卒業_同大学院伴奏科伴奏コース　卒業
ピアノ,瀬川菜央子,東京音楽大学音楽学部楽器専攻　卒業
ピアノ,寺本舞,東京芸術大学音楽学部器楽科ピアノ専攻_ドイツ　カールスルーエ音楽大学修士ソリスト課程　修了
ピアノ,仁部優子,桐朋学園大学音楽学部ピアノ専攻　卒業
フルート,有田紘平,東京芸術大学器楽科　卒業
フルート,三浦千佳,国立音楽大学 卒業_洗足音楽大学大学院音楽研究科　在学
フルート,半田祐子,洗足学園音楽大学音楽学部　卒業_同大学院　卒業
フルート,早川愛里,国立音楽大学 卒業_同大学院音楽研究科修士課程器楽専攻　在籍
クラリネット,小川幸恵,国立音楽大学演奏学科クラリネット専修　卒業
クラリネット,徳永愛,国立音楽大学演奏学科クラリネット専修　卒業
トロンボーン,竹内優彦,洗足学園音楽大学音楽学科　管楽器コース　卒業
ヴァイオリン_ヴィオラ,川村凛子,洗足学園音楽大学音楽学部　卒業
マリンバ,三神絵里子,桐朋学園大学　卒業_同大学研究科　修了
作曲,村松昂,日本大学芸術学部音楽科作曲コース　在学
リトミック講師_Jazzピアノ,市原由里香,国立音楽大学音楽教育科　卒業_リトミック研究センター中級指導者資格取得
